"GCM","scenario","proj.year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Rad01","Rad02","Rad03","Rad04","Rad05","Rad06","Rad07","Rad08","Rad09","Rad10","Rad11","Rad12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","Tave_wt","Tave_sp","Tave_sm","Tave_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Rad_wt","Rad_sp","Rad_sm","Rad_at","DD_0_wt","DD_0_sp","DD_0_sm","DD_0_at","DD5_wt","DD5_sp","DD5_sm","DD5_at","DD_18_wt","DD_18_sp","DD_18_sm","DD_18_at","DD18_wt","DD18_sp","DD18_sm","DD18_at","NFFD_wt","NFFD_sp","NFFD_sm","NFFD_at","PAS_wt","PAS_sp","PAS_sm","PAS_at","Eref_wt","Eref_sp","Eref_sm","Eref_at","CMD_wt","CMD_sp","CMD_sm","CMD_at","RH_wt","RH_sp","RH_sm","RH_at","CMI_wt","CMI_sp","CMI_sm","CMI_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","MAR","Eref","CMD","RH","CMI","DD1040","PPT_MJ","PPT_JAS","PPT.dormant","CMD.def","CMDMax","CMD.total","DD_delayed"
"obs","obs","1975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obs","obs","2001",2.56307616344189,0.489845159414837,0.749219812070897,0.713778760078318,0.994835583409571,-0.070829521456238,1.32700604485333,1.04321044126574,0.672350139792576,-0.029799972639986,1.08949845672415,1.28465552031054,4.60653006609154,1.55239442881694,2.25744598534529,1.13101556955856,0.808956557426107,0.314781675629921,0.919078694243282,0.564027137714925,0.859442411443326,0.858635932249763,2.40348968441933,2.78176754247215,3.58479638163801,1.02110205285613,1.50333578433468,0.922315939773767,0.901857702271736,0.121973939585667,1.12295975512786,0.803659188262554,0.765896809993245,0.414472806710044,1.74639852426919,2.03313041322173,-20.8204841012663,-10.2125424293984,22.6272668199967,1.77549825152403,2.02739635256799,17.9125099393805,-11.2692011730606,-18.4923028582666,5.28564069460238,20.3849660992314,5.1792914611103,-43.560258295642,-4999.32355633171,-5001.76458566677,-5005.93007506904,-5006.81534234219,-5008.97468193983,-5008.93452491899,-5009.51314969348,-5009.24755341615,-5008.84771843125,-5006.16228678426,-4992.0619167828,-4983.76306846844,-95.7701438110792,-23.5809728195351,-31.6957224326473,-11.2844864439675,-2.67525158388837,-0.0334711309091213,-0.0443723869048129,-0.0116023563812959,-0.717054694380082,-4.53998623449246,-38.780852691969,-55.3862507374379,0.395463367504852,0.199843534913944,2.45108114809463,6.33749219812072,17.9588103523457,3.37431279337198,34.4425503809028,24.7472896485093,18.3765550321052,3.75371070204088,1.43690310279671,0.196729195701057,-110.205834950709,-28.5950354397695,-46.572769090023,-27.5603694457033,-27.4036222094921,-3.41762497969373,-28.6541223847673,-20.1980138339076,-22.2053775254577,-12.9050329602682,-52.2687202352961,-62.8862101249156,0.0754708915089902,0.133546798450739,0.320693576381467,0.0225549124052018,0.338979898938944,0.26415453278499,6.24868971177935,4.74385682162125,0.946502620576442,0,0.337348985541943,0.187133952923674,1.87345993040296,0.625176343846988,2.16621209141665,2.19709043339974,2.23912866902077,0.385558187057004,0.377266819996752,0.190635179849348,1.69235800579691,2.14606186783403,2.22562607409434,1.03637813250797,-41.2112513786882,-13.1803473866911,8.89368496652673,-5.09552920254109,-3.65971622534392,1.34367171401944,-0.878859258372591,-0.860438273241052,-0.799282227105236,2.54267734847251,-12.0014278507854,-49.6873776280577,0.0480937764515771,0.324733453603399,4.54476141211879,4.89737215605471,3.88124898468693,-1.27705648988106,5.75170786343932,4.21492146820678,1.04084978496737,-0.0354055694730668,0.769654323309879,0.0130750946913021,0,0,0.0117327439530097,0.399982044990121,1.16768269222548,-8.84047828726305,14.7937033490368,18.513534657444,-0.0616241588932924,-0.252270026248515,0,0,9.25542070298138,4.53592925726109,6.34759402867672,2.01612103386657,-0.211257791191784,1.15673013620157,-0.817953299874318,-1.11365093750802,0.773476175411901,3.31704699937586,5.82976940637317,6.69443993194196,-2.13550077377543,-1.07898404569123,2.05218373532606,-0.106498773074326,-0.349110885010987,1.89158074624441,-1.98879620208791,-2.55492390495815,0.173250540787797,2.02487123692918,0.387402615446439,-4.37624810831146,1.44591031900068,0.819277481852615,0.766457690301731,0.577385023811764,2.98018536410195,1.39925166083841,0.599309159620037,1.37388785813832,2.21301246590686,1.10922866132576,0.682833728058551,0.975638685351277,-74.5928851135868,26.4302105866158,-11.8513624432495,30.8521575936867,-4984.1412665977,-5007.24041095598,-5009.23087599073,-4995.38319325576,-174.737555468156,-45.6456194050906,-0.110515223283373,-44.0170080968545,0.794036799220239,26.7458211852016,62.5658093861953,23.567790849785,-201.688610966236,-101.537111295411,-52.2699749484865,-87.3775382826461,0.446325207978866,0.69615634538599,11.2549483152216,1.26568284612557,3.33704118537265,6.58713096042204,0.924317495874618,6.07613565437461,-104.081481544815,0.145129917321384,-0.372271479749312,-10.2634064073735,0.385957899776845,13.3236668405167,8.69005377952959,1.77549183902049,0,1.57939748116862,24.4667597192178,-0.313894185141799,6.8293996186698,2.71703331936833,-0.256840003761994,3.3085461572004,-7.5907358134047,1.59655419847981,-2.65213316204824,2.58553089116699,1.24521263861695,1.15939495891723,2.4377196282458,-1.27820390051214,-29.1609752135366,-4.53680349524194,1.85595422327482,4.97275498251523,-264.513722757547,113.674088783249,-442.875879581734,13.631225472174,16.9418471430159,-7.50094263801844,5.75812891697092,13.2610059935533,-114.568549662703,6.03036961670329,0.720158559837209,-4983.98325054079,24.1757090091401,25.7322630152445,3.14830838156962,-6.06078918680905,71.2425187458855,19.9399062919485,-24.4758633367249,-43.7407275199001,11.6010375430707,14.7937033490368,37.3333005583152,-5.20637610188185
"ACCESS-ESM1-5","ssp245","2001",1.0409485375217,1.11306953718825,0.676606332133483,0.712816029548817,1.14985849742217,1.61615480638514,1.60264964645731,1.51841115262613,1.40773433425388,0.861438196291007,0.677024854863669,0.701534725844099,0.982824750553613,0.945720295146161,0.502553031404167,0.983036790670234,1.35446652245659,1.86831881257535,2.1033323643328,1.871720004446,1.82043921374157,1.18195222257372,0.580738121905966,0.613382039860122,1.01180157149086,1.02929915611454,0.589641241802684,0.847914226352824,1.25215160868339,1.74214211817817,1.85305876418232,1.69507562479159,1.6140438102241,1.0216092818851,0.628740413307228,0.657429099086006,3.48966731931699,-2.16942261818249,5.99730247351636,8.04174539795997,4.87124547918501,-0.206345813490202,-4.02764644020554,-5.30461529253841,-3.00077377542561,3.96517583084672,6.94301421865788,8.32881180584653,0.0381257534691646,0.118501355175745,-0.104407954924376,-0.00356535196094043,0.453915902153746,1.16908574799716,0.701689908429451,0.436051949828574,0.457470566608812,0.289165006540753,0.0261694268931869,0.00400866970477409,-28.344334339384,-23.8469420908182,-12.7785719782146,-9.20879111483513,-3.64522610487436,-0.648936806915244,-0.0676305371967955,-0.0306346668490667,-1.43178806248343,-10.0503338776837,-14.0464821005652,-18.2452355098796,0.0720637146350431,0.32340392787216,1.39184244051334,8.1115390863465,25.0364529450491,46.373716430544,56.8658589762224,52.0673483870415,39.0631888097538,10.1069819338401,0.899229644576303,0.10180918099505,-31.1069904838447,-28.8283714806043,-18.2644644704556,-25.3371651604408,-38.0143084328696,-48.6246248685436,-46.5614146837781,-43.3895595892578,-46.5987739293257,-31.8129258971093,-18.8206166263391,-20.3352456843851,-0.0153857334621534,-0.0420574731316102,-0.0886079737343856,0.0357774946776221,0.625103668807018,3.87160885438487,10.9983754991065,9.32100992655545,2.13933942663669,0,-0.266161646388906,-0.0792371685804429,0.260210843115963,0.321236501680076,0.382997460648603,2.06657461161604,3.75384536461495,2.56243640934003,0.730696226882927,0.808133619473491,3.3399310869621,3.01435118289315,0.485580417069229,0.176920972306535,-1.94933694713528,-6.35272189399711,2.21429731786353,-0.891910840550963,-4.63190092254551,-3.74137945775869,-1.13441462392804,-1.13576124966869,-3.54088184748502,-7.91383305260817,0.0348369941602726,4.12014039107723,0,0.356706196188408,2.02553458904403,4.36599150129535,3.76637967150882,4.72579279918605,4.00991373045254,3.49716994844346,2.05781513179831,2.18635162749339,0.331915457553501,0,0,0,0.0322506177378401,-0.894527141989932,-0.29450063697535,3.34814764148121,6.45233372378357,6.733180003249,1.8078258193042,0.0109611060286078,0,0,0.0215973118785229,-0.222766097521358,-0.277062902384593,1.43252336288785,1.11656648911157,1.18625330243932,1.87777340777537,1.42134423173933,1.63736010054807,1.66197556408656,-0.151176908147306,-0.200249660137317,0.341402243521234,-0.284484776716628,0.48710808915945,0.514160817038449,-0.146937473815611,-0.862815431048487,-1.14753238314281,-1.25086833847759,-0.999505980728289,0.0851587735873256,0.633721560546858,0.82528916115904,0.951858771022324,0.846487658068212,1.57896271342949,0.982083465145906,0.84726570849614,0.946810420745731,1.94770817123949,1.19427577185167,0.899580622269342,0.896591113125112,1.76330380731709,1.08828221855522,9.64970630733836,18.9093015501159,-9.53344334339386,7.90751459913292,0.0548046751425844,0.115228413375629,0.76956540326097,0.256131635872398,-70.4339383886661,-25.6171478894312,-0.786668832667857,-25.4859651672808,0.499217674569721,34.5387913713353,155.3094545952,50.070785488932,-80.2695217982368,-81.6157713386744,-138.576509717081,-97.2289776759376,-0.141613727887551,0.572897340093537,24.1872707529989,1.86741935208065,0.709081814994996,6.19733838353612,3.99975632486597,6.84232936328115,-4.18210655015884,-3.29831821407507,-5.9821903402047,-11.4246787335731,0.356706196188408,10.1584102121256,12.2312348771792,4.57624466693454,0,-1.15677716122744,16.5336613685138,1.81878692533282,-0.134632649047958,0.758453817149601,1.4950110722561,1.05255260390393,0.882222915722608,0.854317709624741,-3.2612294479262,-0.280606665583669,1.16206875913782,1.82134081173745,0.926198069408938,0.895047837276312,26.9326345129487,-7.66557084106392,0.914483707966038,7.15100548055301,-122.316226198924,240.417304354517,-397.691827905505,26.4362639899452,17.747261860994,-10.3958010926906,10.5055660530613,20.9037312220522,-24.8718226045024,1.28193084756197,1.33463222154772,0.298186971502822,27.3210740515908,17.195671132619,0.788703733787059,-1.80532109542659,155.722659222463,4.6648996656948,-12.3330355081695,17.5572209064711,-2.70670491368774,6.45233372378357,14.4889662189313,-2.28290439384742
"BCC-CSM2-MR","ssp245","2001",2.02783838781111,0.471326276729452,1.54066809736745,0.14589941774468,1.10159115587514,1.19088355748596,1.40506972528835,1.27057430381587,1.56088330098582,0.731436229789926,1.55691652630409,-0.595359057447482,1.84090706999889,0.153666669516667,0.826369924503458,0.678148325481579,1.53650510007781,1.36116331363982,2.1505574603066,2.10000256500141,3.0742392633316,1.44198095058952,0.813871955129575,-0.177631905197547,1.93422524132388,0.312450516847784,1.18349977342488,0.411964449080447,1.31923067057687,1.27603989432194,1.77770116023564,1.68544318949376,2.31753648714507,1.08657692011731,1.18525551689053,-0.386501680075924,-2.04805957643282,-5.53026701664689,-1.88063765935073,-3.56314178472799,2.19855675920621,19.8448045896425,-0.75333236433282,-7.74805701143131,-15.7580647919357,-8.8207149513932,11.4187151052933,-14.6871467779307,0.014298600364228,0.166251848938517,-0.51119879615934,1.10338024435914,-0.0474136235774907,0.105532280542754,0.903495241922386,1.18491736420455,1.26691319180225,0.51435032789268,-0.20409459725203,0.137823083302681,-53.1605391632966,-7.2624509443481,-25.2230012226507,-4.88306158568388,-3.95946442770544,-0.538274096050753,-0.0662924614608539,-0.0311006421053531,-1.84270128848571,-10.6887328038031,-26.2197821458802,11.147778281278,0.1991809095495,0.132649047956976,2.97939876366932,4.35107174308946,26.0416171478895,33.4595670277618,54.5506887028788,51.767174821946,57.2084790396634,10.7679229473576,1.80423481732915,0.0020862011474105,-59.4660351063193,-8.75090416299724,-36.6654083909747,-12.3119939465967,-40.0811395446267,-35.9759231867577,-45.0054420779931,-43.4586906522798,-66.4464726955601,-33.8357330346533,-35.4771672124418,11.9551894253541,-0.0244786634632649,-0.0768987422943082,-0.185800152190084,0.00805410442975744,0.65623851093118,2.48100188955104,10.2347703041237,8.96151215383169,3.44609222035072,0,-0.532673842970612,-0.168601817731,0.526958164826991,0.0564086560247606,0.662227789225284,1.3230149026582,4.29740336357185,2.06091450850298,0.76422934532614,0.898118143964979,5.08006224403424,3.71844834514659,0.69155858035722,-0.028120965466531,-12.291465385306,-6.22123137167732,-7.40445797245192,-4.47656443711043,-5.33714378542909,-2.01836113509862,-1.03553809454595,-1.20636718850195,-5.63872382629811,-12.5671773869476,-2.15766208671421,-11.9808266144547,0,0.0716191143905129,4.42843218563771,1.56569396113169,3.18925435408988,3.54810660145866,2.62473174360245,1.52262331244283,0.293102711206494,1.76319051975479,0.774489350969142,0,0,0,0.436439265041597,0.71981207089663,0.924721483596819,-7.02885626587094,3.24557751006765,7.08326422079529,5.50403560221959,0.24113578262468,0,0,-0.255183440350891,-1.09148932531913,-1.80382014210107,2.05765268170897,1.85794167186791,0.834044408724417,2.55499790524885,2.78142340478288,5.14671808069494,3.00637402850572,-2.42874853581169,1.64806470643559,-0.226746637710651,-0.573507853179319,-0.442438162090988,-0.443072315939774,-0.384177361297549,1.35060328833181,-0.647272805000043,-1.23059879957934,-2.18915996203798,-1.14731542677348,1.0053520036936,-1.46631178447148,0.634566814011747,0.929472293709762,1.28877170632444,1.28306543318599,0.60563701810036,1.01377192007456,1.87054737130105,1.77667259466993,0.620114741063108,0.971624244393335,1.57965398130969,1.53004471652459,-22.2612795937039,-3.24342290888259,11.3426628134645,-13.1583460870904,0.10715507143529,0.180751374413255,0.732798673039269,0.523973358185348,-49.2739849006915,-34.0536512795082,-0.673689070528989,-38.697543583649,0.335173009345155,33.3692105780658,139.777716977744,69.7824408553425,-56.2608178934497,-89.0587428073086,-124.441069092588,-135.756388991014,-0.276468677057773,0.479415863678725,21.6744628459546,2.89878931933413,0.520891936490562,6.27061619883891,3.60786685932678,9.49209124565019,-30.4950880222984,-17.2070255388641,-4.22813550047453,-20.341294812712,0.0716191143905129,9.18317957574875,7.69580793269438,2.8315820073701,0,2.08097281953506,3.29998546499201,5.74517138484425,0.0994536546995164,0.701198710659284,2.05718670645269,1.90935712514643,-2.26655823835703,-1.26970190408605,-0.5272603647432,-2.33112620661942,1.17537427645585,1.75770355423695,0.0825682504125371,1.6752738139006,-27.3199882009937,-2.21491719320443,1.63354038594721,6.1571807214494,-122.693336981335,243.266140271378,-405.521533186844,24.7004420352431,19.8940355167195,-13.9043895724143,19.6173659145513,33.524414538428,-72.2595140177327,1.0433899913645,1.12395497567524,0.385124701818587,19.7820432801239,11.1261296693712,1.19125505519028,-6.39466851631768,153.944177019297,22.0433613488487,-24.2594541676998,-35.4196256807945,8.12706161988385,3.24557751006765,19.253191289255,-2.09373635205499
"CNRM-ESM2-1","ssp245","2001",0.67188245453535,0.908001521900837,0.137024512863482,0.703069024187964,0.602296531263091,0.696379500508725,0.764232337827785,0.84524448738447,0.796361117998615,0.810685795877188,1.09583443770894,1.02451457348302,0.508686804777742,0.70533092793201,0.278460828153456,0.787062560384408,0.702103728657051,0.57215605468583,0.864452500448875,0.917051274378201,1.05265434895989,1.20328149180482,0.892862456074351,0.884055523730538,0.590246154635386,0.806666438666541,0.207863439324892,0.744890517189784,0.652222573722415,0.634208141314478,0.814411032926067,0.881137834625807,0.924515855983721,1.00706444138544,0.994240716832395,0.954328439880642,2.15238245881037,7.70989406544169,-2.73980625689344,3.453081849195,2.8667567267162,7.29058900982395,-3.75103241306783,-2.07765541771047,-3.69171675544421,-2.32642207953212,11.0818791200336,-2.75714566643003,-0.0184214126317797,-0.132979078138493,0.107578296668063,-0.232219410220672,-0.112707871989329,-0.00639711351841399,0.442846638565651,0.282398105318961,0.22280756504416,0.14265640096102,-0.0769278123103057,0.0100052155028756,-16.4846612915637,-18.6362272249251,-4.37986388392508,-8.90400909720503,-2.21576364367,-0.302644516454484,-0.0402876221581924,-0.0202848861566873,-0.910806350943491,-10.0744106909259,-22.1489496319223,-26.389380039159,0.0312930172111595,0.220838071460939,0.49541292247711,6.03163074239692,12.344992689746,16.3758026316914,24.8867252626989,26.9867132926922,21.9003197701759,9.81612359886798,1.11274463700955,0.120597816328799,-18.1432553287904,-22.5917030754367,-6.43474636411065,-22.2609333185134,-19.8829632606298,-18.0194726357099,-21.4318992125446,-23.1960986328542,-26.8658889012389,-31.3548935951915,-29.7559315657624,-29.5167922092357,-0.00492907771099272,-0.0123034567669013,-0.0221658871912382,0.0174762096119153,0.241892458040852,1.09269060097983,3.9069289238109,4.21424174283297,1.08660299763165,0,-0.064727810600296,-0.0158859087372498,0.131695722432646,0.24185398301969,0.243568258962544,1.53797912088852,1.99793089886199,0.957591976675587,0.430886036987321,0.476431912037551,2.09082669995469,3.0604656332561,0.738412606126932,0.265862396224318,-0.98214331517886,3.02262331244279,-3.30851836968512,-2.67851982318592,-2.37927820860302,-1.16840516762284,-0.642691028480066,-0.64007900204345,-2.26517839584813,-9.98363956600175,-0.643242503783398,-7.38719123795516,0,0.308774869826179,0.702421361331751,4.37193375456359,2.09823955403175,2.67087184397953,2.38592156225684,2.30787284433006,1.16463461554903,2.09917150454433,0.546127275370002,0,0,0,0.0766208671414773,-0.0892321240776726,-0.256478766063321,-2.02765926521259,5.0659974862986,3.4497601723681,2.16705426687984,0.129117896014843,0,0,-0.514329807881396,-0.445690370129711,0.626664044665233,0.763310219820625,0.584439846441917,-0.184628801545841,0.499880299934162,0.431300712215382,1.00567292812011,1.90751887413539,-0.43087321198027,-0.340037962020872,0.21022140237177,0.715600979830539,-0.307198505459177,0.0807972879385082,-0.0466981164339644,0.319527184739951,-0.7778710915791,-0.6518609085235,-0.775385305961918,-0.526208072914439,1.00974059285733,-0.287719286245608,0.868105489958019,0.480753939414667,0.768543677699022,0.900980685539378,0.699274959601228,0.589225711574141,0.784666421566532,1.04950751972914,0.783770808573945,0.534950281722655,0.776509289580108,0.97536572645115,7.10514795783121,3.57759984267992,1.46200377910205,5.06903273796809,-0.0485584692071548,-0.0792247710736227,0.240444942244718,0.0946164895390691,-61.5106319308474,-15.4914756453116,-0.382693935481665,-33.1115305363417,0.375345206439863,18.8723740798057,68.253614514488,32.8295428312485,-70.2520584136323,-48.5772877675083,-62.6492446070846,-87.975598286579,-0.0350208192614504,0.238861481373815,9.21148864131873,1.0266503646577,0.609341735137952,3.78129087970999,1.82781573029865,5.88641746252961,-5.34702759086542,-8.36031857317523,-2.42950948623023,-12.900114570063,0.308774869826179,7.17167554442156,7.36399080019498,3.80658179361997,0,-0.269090022999499,6.48809839345418,2.29617216289468,-0.433844338614378,0.656772886225085,0.248719636795805,0.827755880265741,0.63811361246249,-0.273112500961876,-1.11020964611531,-0.291845475765015,0.767718174744996,0.839382604160432,0.610292495660872,0.229107208508967,17.2112321411773,0.642990278644675,0.592076710642191,2.71957737326755,-110.494241571833,120.328679280774,-269.45667285117,10.4141878778033,12.1000863550475,-5.74994228746826,6.83955061175283,12.5888858488872,-29.0324002428206,1.23737933805864,0.819512393231818,0.0521092861601034,18.6504330577382,8.51518053334922,0.322856727571207,-1.03708684239776,71.2361126548622,10.1573457365402,-9.52040458622247,12.1741806957991,-1.96332475482864,5.0659974862986,6.55185577852058,-2.25202040886122
"EC-Earth3","ssp245","2001",1.19436725690199,1.00053694029532,1.10030010516506,0.886895407792474,0.825822724202498,1.17013697107533,1.16566916611804,1.31917894304842,1.41963551329953,1.48347412341077,1.27115613163587,0.599005206952864,1.10616626339145,0.915481066014586,1.03081336194735,0.993102711206491,1.11635444899495,1.2783445480895,1.33740883557486,1.60752656913961,1.65566395061517,1.54714130592772,1.15203319111825,0.669905265947897,1.150158175087,0.957971169384143,1.06554006104703,0.939910994451047,0.97110012910507,1.22414136577775,1.25149069331988,1.4633281748305,1.53765464821006,1.51523610837986,1.21146812130747,0.634490718969896,5.60440410742217,5.66392496515871,6.27340777537425,3.67688677228772,9.87385323061928,5.79150386032713,-2.50415957728772,-6.95794680187073,-5.81322942227622,-0.345043989774155,2.38193726006554,-6.85844612214527,-0.041295240212383,-0.0821689651929303,-0.134481313964724,-0.24105498508024,-0.742197265708494,-0.42614805188143,0.227002624851444,0.157148658931764,0.0271684949426731,-0.16083029095666,-0.101843808514097,-0.00677032122368004,-31.9877478432613,-22.0008379004609,-22.6347480741114,-11.3494557922007,-3.13388024863413,-0.518091809950495,-0.0546473550560454,-0.0275694901632195,-1.3951170923144,-14.3023409912876,-26.8570738463906,-17.6110260860644,0.0770996674048171,0.305530143041578,2.19281115604614,7.55845638215101,18.7124975418737,32.0988038543421,38.3269436298189,44.931967612582,37.0419121230516,15.5695243632384,1.43504561427509,0.0738805906343246,-35.3594336476885,-26.8316375824007,-33.0106020058312,-28.0860899973495,-29.5608760334817,-34.4889790439384,-32.3780213579117,-37.5586915072803,-44.528710915791,-47.1824058003233,-36.2589112424012,-19.6240776682428,-0.0109311810121495,-0.0282534905394196,-0.0415444728494603,0.0204601612530887,0.383416410879026,2.40078574543216,6.54555870005727,7.93412221376724,1.94282184355202,0.000359100197505109,-0.104019357210645,-0.0362691199480165,0.304435742439658,0.337225010473756,0.844719089595499,1.90063184534751,3.16442941543618,1.95826315204473,0.584268846347868,0.738998281449057,3.18415427628486,3.97186193452407,0.967411657076411,0.195709607640285,-1.09564890260692,0.0417881479834392,-0.471720859446478,-4.05774245675838,-2.21807641994203,-2.50327465180106,-0.833834933609215,-1.03155806735694,-3.69925785959182,-13.8531750442463,-8.64143845279115,-9.29304286117352,0,0.436259714942844,3.83190263254645,5.60490428269735,2.54928650210758,3.6552210603716,3.56619413640675,3.14298172863992,2.42150668182866,3.77850357817697,0.714429842936413,0,0,0,0.0769372173154702,-0.0232474627861103,-3.06719448695697,-0.323087577698178,5.38330526081786,7.94364691900581,3.18985712942143,0.166058191332006,0,0,-0.0664420865431481,0.0704434887439191,0.379025983464288,0.975328961430932,1.29271368599253,0.64776973127335,0.813383322360828,1.19093870501629,1.09944937969716,1.05209945365471,-0.00355252695389652,0.444553219504272,0.549888978188937,0.496245179934849,0.422959541377748,0.031015697808634,0.530817765199771,-0.0566978171837993,-0.857712275241751,-1.33874862131174,-1.32592190425705,-0.576479321813627,0.115469352508144,-0.692761651518909,0.931315247223386,0.937723475747911,1.21838422011132,1.39147949281372,0.897004505852479,1.04689292829111,1.40780016929009,1.45179293598611,0.914371702904437,0.992352875794082,1.31307680469224,1.42161312938722,4.40960080028026,19.817645499705,-3.66820851751476,-3.77205259962903,-0.0464910780700976,-0.373138022725913,-0.012363734300056,-0.0780491454270305,-71.6005737053155,-37.1081361844748,-0.629404321172375,-42.5132140322677,0.457134551424004,28.4618156789986,115.359737172856,54.048914576903,-81.8145888730237,-90.6567643362205,-104.42794483537,-127.968403457622,-0.0788139433476693,0.364991150745133,16.8763797570089,1.84079463743705,0.784073906240648,5.89158594037227,3.17598474679161,8.12748484511667,-10.35005429253,-6.74114860763177,-4.3397643618704,-26.1870826528953,0.436259714942844,11.9842551663404,10.3667952017374,6.91541907848045,0,-3.01350473242761,13.0038646021256,3.35591532075341,0.147756906266295,0.881761984969089,0.883459160902547,0.719765045870787,0.353385032361771,0.984769577373267,-2.25316940124317,-1.78693726006549,1.16029420566181,1.3538265546046,0.979834386408912,0.374067835737311,16.7879898083941,0.393684966526678,1.05549808052394,4.70946015270309,-151.848553766704,198.326832479758,-404.868107627459,18.9666421566532,17.9891970690583,-8.41339272736599,10.5922887507588,19.0076394292017,-47.6053531579444,1.35558101556956,1.30231021127062,-0.126769209723083,29.7032336117787,13.3462751904514,0.657495361622452,-2.70197210133465,120.47492711121,15.6653570909464,-15.2753358014348,0.637548200651509,0.909442625193442,5.38330526081786,14.2557178156447,-2.71593524226438
