"GCM","scenario","proj.year","BAFA","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","SBPS","SBS","SWB","BG","PP","CDF"
"MPI-ESM1-2-HR","ssp245",2061,4,5,559,7935,73093,123463,13499,1766,557,394,NA,4462,698,1242,8,NA
"MRI-ESM2-0","ssp245",2061,12,132,523,26159,50588,129015,6993,2927,2885,267,NA,2360,1340,322,873,NA
"ensemble","ssp245",2081,1,12,2021,48270,41676,117749,4359,529,3646,131,NA,129,241,2593,88,NA
"ACCESS-ESM1-5","ssp245",2081,NA,NA,704,52358,28198,121708,6337,47,2547,22,NA,225,5,4050,214,6
"BCC-CSM2-MR","ssp245",2081,1,NA,2114,35871,38694,125413,3838,164,3239,1002,NA,74,5,2772,314,15
"CNRM-ESM2-1","ssp245",2081,2,NA,2621,35495,46246,118980,6354,326,4008,1077,NA,255,77,2643,97,6
"EC-Earth3","ssp245",2081,NA,NA,2971,72136,21479,104875,664,54,6237,255,NA,5,NA,4144,74,523
"GFDL-ESM4","ssp245",2081,5,27,3509,35077,50067,116177,9060,914,5392,1363,NA,292,300,1503,260,NA
"GISS-E2-1-G","ssp245",2081,2,1,1048,33533,50708,124408,6252,947,3428,383,NA,1850,1611,796,66,NA
"MIROC6","ssp245",2081,15,NA,684,67809,37265,106611,2815,587,4481,150,NA,92,854,2651,273,246
"MPI-ESM1-2-HR","ssp245",2081,9,8,329,6948,65986,123681,17316,1104,302,532,NA,5548,333,2234,621,NA
"MRI-ESM2-0","ssp245",2081,15,62,1120,55902,38484,114690,2459,2190,4787,116,NA,330,775,515,585,11
