"GCM","scenario","proj.year","BAFA","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","SBPS","SBS","SWB"
"EC-Earth3","ssp245",2041,NA,NA,14,404,39147,40189,3987,577,NA,27,NA,4,NA
"GFDL-ESM4","ssp245",2041,5,9,7,374,58733,48144,8470,2898,NA,130,NA,106,NA
"GISS-E2-1-G","ssp245",2041,3,NA,20,398,56501,53625,8223,1932,NA,25,NA,266,NA
"MIROC6","ssp245",2041,4,NA,30,439,50262,41754,5513,2363,NA,14,NA,51,NA
"MPI-ESM1-2-HR","ssp245",2041,12,NA,2,495,70079,55904,11899,3293,NA,1302,NA,425,1
"MRI-ESM2-0","ssp245",2041,4,NA,12,177,46321,50361,4973,2278,NA,9,NA,111,NA
"ensemble","ssp245",2061,1,NA,29,492,43512,43101,4796,1112,NA,6,NA,6,NA
"ACCESS-ESM1-5","ssp245",2061,NA,NA,2,508,25824,35617,4251,89,NA,NA,NA,NA,NA
"BCC-CSM2-MR","ssp245",2061,NA,NA,6,445,39308,45402,5283,463,NA,32,NA,33,NA
"CNRM-ESM2-1","ssp245",2061,1,NA,28,490,45802,43115,4308,907,NA,12,NA,24,NA
"EC-Earth3","ssp245",2061,NA,NA,5,507,21590,26653,563,252,NA,NA,NA,NA,NA
"GFDL-ESM4","ssp245",2061,1,NA,26,403,56576,50825,9270,1523,NA,347,NA,176,NA
"GISS-E2-1-G","ssp245",2061,2,NA,29,469,44262,42987,5074,1540,NA,5,NA,65,NA
"MIROC6","ssp245",2061,1,NA,27,505,41108,35244,4205,1001,NA,7,NA,9,NA
"MPI-ESM1-2-HR","ssp245",2061,4,NA,21,492,59284,52882,9114,1629,NA,211,NA,274,1
"MRI-ESM2-0","ssp245",2061,2,9,16,345,38462,45426,3803,2379,NA,12,NA,45,NA
"ensemble","ssp245",2081,1,NA,21,509,28293,32165,1986,486,NA,1,NA,NA,NA
"ACCESS-ESM1-5","ssp245",2081,NA,NA,4,475,14696,27350,2823,34,NA,1,NA,NA,NA
"BCC-CSM2-MR","ssp245",2081,NA,NA,5,420,24968,34219,1234,145,NA,5,NA,NA,NA
"CNRM-ESM2-1","ssp245",2081,NA,NA,5,414,32657,35202,2872,307,NA,16,NA,NA,NA
"EC-Earth3","ssp245",2081,NA,NA,4,509,11341,20114,112,49,NA,NA,NA,NA,NA
"GFDL-ESM4","ssp245",2081,1,NA,29,415,36994,40134,4047,828,NA,75,NA,31,NA
"GISS-E2-1-G","ssp245",2081,1,NA,21,508,37554,39842,3303,868,NA,NA,NA,44,NA
"MIROC6","ssp245",2081,1,NA,9,509,24239,25500,1791,546,NA,5,NA,NA,NA
"MPI-ESM1-2-HR","ssp245",2081,9,NA,21,501,51498,48936,11918,1024,NA,322,NA,186,1
"MRI-ESM2-0","ssp245",2081,1,6,3,505,26240,29502,1268,1715,NA,1,NA,2,NA
