"GCM","scenario","proj.year","Freq.ESSF","Freq.ICH","Freq.IDF","Freq.IMA","Freq.MS","Freq.PP"
"obs","obs",1975,103095,56913,14146,12586,12680,31
"obs","obs",2005,78755,41916,10473,9325,6858,121
"ensemble","ssp245",2001,92761,58297,10756,10366,5227,34
"ACCESS-ESM1-5","ssp245",2001,86393,56789,8457,8249,4322,62
"BCC-CSM2-MR","ssp245",2001,89577,55988,9411,9060,5582,45
"CNRM-ESM2-1","ssp245",2001,96864,57578,10788,11699,8205,60
"EC-Earth3","ssp245",2001,89598,55326,9125,10151,6534,44
"GFDL-ESM4","ssp245",2001,95926,58805,12331,11538,8019,63
"GISS-E2-1-G","ssp245",2001,93403,59429,11489,10537,3991,15
"MIROC6","ssp245",2001,84609,50369,9351,9100,879,87
"MPI-ESM1-2-HR","ssp245",2001,93330,58620,11707,10553,4873,7
"MRI-ESM2-0","ssp245",2001,87390,56106,11576,10120,4476,8
"ensemble","ssp245",2021,77008,50826,8681,6876,3082,38
"ACCESS-ESM1-5","ssp245",2021,65797,46030,7980,4018,1096,41
"BCC-CSM2-MR","ssp245",2021,83674,50572,6540,8356,3877,110
"CNRM-ESM2-1","ssp245",2021,83629,54657,9926,8135,4255,63
"EC-Earth3","ssp245",2021,74872,47980,6655,6548,2976,30
"GFDL-ESM4","ssp245",2021,85638,53945,7203,8234,5505,56
"GISS-E2-1-G","ssp245",2021,69435,47520,8735,5781,526,2
"MIROC6","ssp245",2021,61682,25932,7903,5736,306,42
"MPI-ESM1-2-HR","ssp245",2021,81793,51964,8816,7102,4986,58
"MRI-ESM2-0","ssp245",2021,60178,42183,5714,5158,327,16
"ensemble","ssp245",2041,57460,35914,5893,3766,493,15
"ACCESS-ESM1-5","ssp245",2041,38737,26234,3434,1400,18,1
"BCC-CSM2-MR","ssp245",2041,66093,48952,4753,3522,869,50
"CNRM-ESM2-1","ssp245",2041,67315,43393,7187,5022,1800,49
"EC-Earth3","ssp245",2041,51234,25476,2788,3355,639,23
"GFDL-ESM4","ssp245",2041,67194,42553,8619,5485,152,35
"GISS-E2-1-G","ssp245",2041,54548,37420,6514,3488,93,NA
"MIROC6","ssp245",2041,46318,18773,7284,3590,8,20
"MPI-ESM1-2-HR","ssp245",2041,70165,47196,8881,5377,1231,24
"MRI-ESM2-0","ssp245",2041,37225,22534,3881,2892,18,2
"ensemble","ssp245",2061,44185,26065,3727,2591,64,NA
"ACCESS-ESM1-5","ssp245",2061,23346,17390,1340,600,NA,NA
"BCC-CSM2-MR","ssp245",2061,37578,23749,2544,1632,21,2
"CNRM-ESM2-1","ssp245",2061,50517,35579,4427,2906,141,1
"EC-Earth3","ssp245",2061,35951,15097,596,1878,20,NA
"GFDL-ESM4","ssp245",2061,65534,44652,7619,4341,1827,38
"GISS-E2-1-G","ssp245",2061,45746,30604,5131,2873,10,NA
"MIROC6","ssp245",2061,38861,16387,3511,2232,6,5
"MPI-ESM1-2-HR","ssp245",2061,56802,41967,8773,3356,494,4
"MRI-ESM2-0","ssp245",2061,31062,22633,3050,2283,NA,NA
"ensemble","ssp245",2081,33660,19289,1648,1532,5,NA
"ACCESS-ESM1-5","ssp245",2081,13826,9661,653,287,NA,NA
"BCC-CSM2-MR","ssp245",2081,33230,18254,767,1072,NA,NA
"CNRM-ESM2-1","ssp245",2081,40951,25838,1876,1825,21,NA
"EC-Earth3","ssp245",2081,25087,9360,69,1094,3,NA
"GFDL-ESM4","ssp245",2081,44207,27718,5302,2415,155,NA
"GISS-E2-1-G","ssp245",2081,34082,27790,3902,1692,NA,NA
"MIROC6","ssp245",2081,17344,8180,2768,862,NA,NA
"MPI-ESM1-2-HR","ssp245",2081,52490,37465,8857,2515,114,17
"MRI-ESM2-0","ssp245",2081,23393,15553,1508,1568,NA,NA
