"GCM","scenario","proj.year","BAFAun","BAFAunp","BGdh_OR","BGdw_OR","BGdw_WA","BGmk_MT","BGmk_NV","BGmm_MT","BGmw_OR","BGmw_WA","BGwm_WA","BGxh_WA","BGxh1","BGxh2","BGxh3","BGxw1","BGxw2","BGxx_WY","BSJPap","BSJPku","BSJPpa","BWBScmC","BWBScmE","BWBScmNW","BWBScmW","BWBSdk","BWBSdmN","BWBSdmS","BWBSlbE","BWBSlbN","BWBSlbW","BWBSlf","BWBSmk","BWBSmw","BWBSnm","BWBSpp","BWBSub","BWBSuf","BWBSwk1","BWBSwk2","BWBSwk3","CCHun_CA","CDFmm","CDFmm_OR","CDFmm_WA","CDFxm_CA","CMAun","CMAun_CA","CMAun_OR","CMAun_WA","CMAunp","CMXdm_OR","CMXwm_OR","CMXxm_CA","CRFdh_CA","CVGdm_CA","CWFds_CA","CWFmm_OR","CWFwm_OR","CWHdm","CWHdm_OR","CWHdm_WA","CWHds_WA","CWHds1","CWHds2","CWHmh_OR","CWHmm1","CWHmm2","CWHms_OR","CWHms_WA","CWHms1","CWHms2","CWHvh_WA","CWHvh1","CWHvh2","CWHvh3","CWHvm_OR","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHwh1","CWHwh2","CWHwm","CWHws1","CWHws2","CWHxm_OR","CWHxm_WA","CWHxm1","CWHxm2","ESSFabC","ESSFabN","ESSFabS","ESSFdc1","ESSFdc2","ESSFdcw","ESSFdk_MT","ESSFdk1","ESSFdk2","ESSFdkp","ESSFdkw","ESSFdm_ID","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmh","ESSFmm1","ESSFmm2","ESSFmm3","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv2","ESSFmv3","ESSFmv4","ESSFmvp","ESSFmw_WA","ESSFunp","ESSFvc","ESSFvcp","ESSFvcw","ESSFvh_ID","ESSFwc2","ESSFwc3","ESSFwc4","ESSFwcp","ESSFwcw","ESSFwh_MT","ESSFwh1","ESSFwh2","ESSFwh3","ESSFwk1","ESSFwk2","ESSFwm_MT","ESSFwm1","ESSFwm2","ESSFwm3","ESSFwm4","ESSFwmp","ESSFwmw","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc_CO","ESSFxc_WA","ESSFxc1","ESSFxc2","ESSFxc3","ESSFxcw","ESSFxk_MT","ESSFxk_UT","ESSFxk_WY","ESSFxv1","ESSFxv2","ESSFxvp","ESSFxw_OR","ESSFxx_WY","FGnf","GBDdw_UT","GBDxh_NV","GBDxx_UT","GOun_CO","ICHdh_ID","ICHdk","ICHdm","ICHdw_ID","ICHdw1","ICHdw3","ICHdw4","ICHmc1","ICHmc2","ICHmh_MT","ICHmk1","ICHmk2","ICHmk3","ICHmk4","ICHmk5","ICHmm","ICHmw_MT","ICHmw1","ICHmw2","ICHmw3","ICHmw4","ICHmw5","ICHvc","ICHvk_ID","ICHvk1","ICHvk2","ICHwc","ICHwk1","ICHwk2","ICHwk3","ICHwk4","ICHxm1","ICHxw","ICHxw_WA","ICHxwa","IDFdc","IDFdh","IDFdh_MT","IDFdh_UT","IDFdh_WA","IDFdk_MT","IDFdk_WA","IDFdk1","IDFdk2","IDFdk3","IDFdk4","IDFdk5","IDFdkx_MT","IDFdm_MT","IDFdm_WA","IDFdm1","IDFdm2","IDFdw","IDFdx_MT","IDFmw2","IDFxc","IDFxh_ID","IDFxh_WA","IDFxh1","IDFxh2","IDFxk","IDFxm","IDFxm_CO","IDFxw","IDFxx_MT","IDFxx_WA","IDFxx1","IDFxx2","IGFdk_WA","IGFdw_OR","IGFmh_OR","IGFmm_OR","IGFxm_OR","IMAab","IMAun","IMAun_CO","IMAun_ID","IMAun_MT","IMAun_OR","IMAun_WA","IMAun_WY","IWFdm_CO","IWFdw_OR","IWFxk_NV","IWFxm_CA","JPWdm_WY","JPWdw_UT","JPWwm_CO","JPWxh_CA","JPWxw_NV","MDCHun_NV","MGPdm","MGPmg","MGPmw_MT","MHdm_OR","MHds_OR","MHds_WA","MHmm_WA","MHmm1","MHmm2","MHmmp","MHms_WA","MHRFdm_OR","MHRFds_CA","MHRFmm_OR","MHunp","MHwh1","MMMdk_NV","MSabN","MSdc1","MSdc2","MSdc3","MSdh_MT","MSdh_UT","MSdh_WY","MSdk","MSdk_CO","MSdm_WA","MSdm1","MSdm2","MSdv","MSdw","MSdw_MT","MSmm_ID","MSSDun_NV","MSxh_OR","MSxk_WA","MSxk1","MSxk2","MSxk3","MSxm_CO","MSxv","MSxx_NV","OWun_CA","PPmx_WY","PPxh_CO","PPxh_WA","PPxh1","PPxh2","PPxk_OR","PPxm_OR","PPxw_MT","PPxw_WY","PPxx_OR","SASbo","SBAPcp","SBAPfp","SBPSdc","SBPSmc","SBPSmk","SBPSxc","SBSdh1","SBSdh2","SBSdk","SBSdw1","SBSdw2","SBSdw3","SBSmc1","SBSmc2","SBSmc3","SBSmh","SBSmk1","SBSmk2","SBSmm","SBSmw","SBSvk","SBSwk1","SBSwk2","SBSwk3","SBSwk3a","SGPdm_CO","SWBmk","SWBmks","SWBun","SWBuns","SWBvks","WJPxm_OR"
"obs","obs",1975,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,2,14,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,434,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,221,791,3099,513,918,262,6522,9331,4798,6716,0,0,0,7,0,72,2,32,3599,145,113,5072,885,3851,32,73,591,55,146,0,4,5828,5151,3910,4,3340,253,6132,7210,6965,0,4874,2057,2577,98,28,23,2908,3610,2652,4856,2571,3841,4,18,4,0,0,16,49,0,2,17,1,0,9,16,4,0,0,0,0,0,0,0,0,44,5563,80,9343,1,459,0,0,24,1540,0,16,2732,3548,207,0,4755,10119,1478,3486,4484,4,1,4842,6,0,6900,1,0,0,3,3966,368,1160,15,1196,0,0,15,1,5,0,0,51,0,2155,2,121,222,2615,5710,0,0,0,0,0,0,0,0,1244,1,0,0,0,0,293,2668,0,0,0,1,45,2737,12682,0,0,386,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,89,31,0,0,0,6565,0,618,3713,27,0,5673,211,0,0,0,9,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,108,6,103,0,2,82,1,5,85,21,56,31,9,0,339,3,150,0,11,161,70,87,0,0,0,180,0,0,1,0
"obs","obs",2005,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,29,150,18,17,1,0,429,2266,251,540,0,0,0,0,0,0,0,2,2,0,0,51,4,110,0,0,5,0,0,0,0,776,627,179,2,781,28,66,1154,536,0,39,18,0,0,0,3,41,59,11,677,623,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183,38,3850,0,0,0,0,0,8,0,1,677,0,0,0,86,92,9,1172,99,0,0,1126,0,0,284,0,0,0,0,368,3,0,0,0,0,0,5,0,1,0,0,0,0,0,0,16,22,4,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1314,5502,0,0,260,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,24,44,0,0,347,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ensemble","ssp245",2001,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,252,791,101,40,4,1594,3032,442,632,NA,NA,NA,NA,NA,2,NA,NA,762,13,4,1297,178,906,NA,10,47,NA,1,NA,NA,3732,1706,553,1,1481,15,1688,1461,863,NA,1394,523,907,20,NA,4,1405,421,569,1777,213,445,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2624,7,6764,NA,34,NA,NA,1,312,NA,3,1779,907,92,NA,3120,4550,1087,2759,1417,NA,NA,4171,NA,NA,3351,1,NA,NA,NA,2185,123,193,1,510,NA,NA,5,NA,2,NA,NA,2,NA,1334,NA,76,34,769,2560,NA,NA,NA,NA,NA,NA,NA,NA,436,1,NA,NA,NA,NA,139,759,NA,NA,NA,NA,45,1393,5547,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054,NA,95,343,2,NA,1180,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,7,NA,NA,19,10,5,1,NA,NA,107,NA,2,NA,NA,75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-ESM1-5","ssp245",2001,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,125,86,1,2,0,1315,1396,76,330,0,0,0,0,0,0,0,0,291,1,3,818,74,354,0,5,36,0,0,0,0,3630,744,293,2,876,0,712,435,374,0,375,394,697,1,0,3,1146,83,381,1214,43,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,6,6397,0,4,0,0,1,14,0,1,1565,808,34,0,3157,3175,750,2664,1195,0,0,3853,0,0,3103,1,0,0,0,1971,122,122,1,6,0,0,6,0,2,0,0,0,0,1346,0,34,22,46,2071,0,0,0,0,0,0,0,0,349,0,0,0,0,0,118,670,0,0,0,0,42,1100,4024,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,13,0,2,0,960,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,15,4,0,0,0,0,70,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0
"BCC-CSM2-MR","ssp245",2001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,159,192,21,3,0,0,1368,1348,31,288,0,0,0,0,0,0,0,0,112,0,0,264,0,152,0,14,19,0,0,0,0,2180,220,55,1,1170,0,564,345,177,0,137,32,486,0,0,1,1144,32,295,1100,23,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,8,5613,0,0,0,0,0,49,0,0,1242,451,2,0,2525,419,608,2458,826,0,0,2404,0,0,2005,1,0,0,0,1524,96,126,1,137,0,0,5,0,2,0,0,1,0,926,0,71,32,16,2264,0,0,0,0,0,0,0,0,51,0,0,0,0,0,135,447,0,0,0,0,45,1230,3615,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,6,0,0,0,1129,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,4,0,0,0,0,72,0,0,0,0,42,4,0,0,0,0,0,0,0,1,0
"CNRM-ESM2-1","ssp245",2001,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109,310,779,65,50,41,1761,3317,662,1584,0,0,0,0,0,2,0,1,842,18,3,1694,88,1159,0,2,55,3,12,0,0,4092,2068,1220,4,1656,23,1968,2569,2084,0,1318,623,1101,24,0,10,1301,778,815,2010,572,773,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2947,12,6875,0,0,0,0,4,300,0,12,1467,954,99,0,3187,3735,1008,2836,1940,0,0,4181,0,0,3685,1,0,0,0,2212,125,232,1,495,0,0,5,0,4,0,0,5,0,1347,0,78,48,599,2616,0,0,0,0,0,0,0,0,259,0,0,0,0,0,141,883,0,0,0,0,45,1174,7100,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1247,0,175,457,0,0,1820,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,10,0,0,34,5,6,3,0,0,76,0,7,0,0,64,19,2,0,0,0,0,0,0,0,0
"EC-Earth3","ssp245",2001,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,227,120,8,4,0,1045,1611,136,615,0,0,0,0,0,0,0,0,233,0,0,473,2,311,0,0,26,2,0,0,0,2877,749,299,2,1193,6,1025,848,590,0,397,214,527,3,0,5,1020,216,233,1097,123,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,14,6145,0,0,0,0,0,40,0,4,1217,429,2,0,2320,2065,812,2425,1222,0,0,3629,0,0,2566,1,0,0,0,1665,121,120,1,63,0,0,5,0,1,0,0,1,0,943,0,64,38,99,1931,0,0,0,0,0,0,0,0,79,0,0,0,0,0,119,434,0,0,0,0,45,1109,4694,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,82,4,2,0,1129,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,5,9,1,0,0,54,0,0,0,0,42,4,0,0,0,0,0,0,0,0,0
"GFDL-ESM4","ssp245",2001,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,156,1248,141,189,5,2122,4194,830,1340,0,0,0,0,0,7,0,1,1337,20,4,1734,149,1319,0,27,95,5,13,0,0,3824,2523,1451,0,1685,47,2358,2262,1743,0,1996,826,1507,18,8,2,1519,1037,1477,2038,481,758,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3699,11,6996,0,235,0,0,0,441,0,11,1865,1295,118,0,3257,7758,1275,2828,2122,0,0,4342,0,0,4322,1,0,0,0,3412,189,600,1,628,0,0,6,0,2,0,0,14,0,1558,0,47,23,1289,3616,0,0,0,0,0,0,0,0,716,1,0,0,0,0,274,1296,0,0,0,0,45,1518,7056,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2153,0,114,997,5,0,2372,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,10,0,2,26,0,0,25,7,2,3,0,0,120,0,9,0,0,109,25,12,0,0,0,0,0,0,0,0
"GISS-E2-1-G","ssp245",2001,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,203,123,824,86,55,26,1954,3156,571,675,0,0,0,0,0,0,0,0,1235,41,4,1250,294,904,0,17,81,3,2,0,0,4923,2398,1672,0,1594,68,1565,1748,1524,0,1774,470,1539,40,5,2,1719,389,1537,1836,220,769,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3301,2,6998,0,181,0,0,3,649,0,0,2163,777,147,0,3388,6305,1441,3224,2199,0,0,4638,5,0,3793,1,0,0,3,3342,189,525,0,735,0,0,4,0,4,0,0,1,0,1649,0,64,4,1065,4272,0,0,0,0,0,0,0,0,796,1,0,0,0,0,234,1881,0,0,0,0,45,2014,6636,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2214,0,183,389,8,0,1686,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,9,0,2,8,0,2,36,18,0,3,0,0,147,0,3,0,1,100,28,0,0,0,0,3,0,0,1,0
"MIROC6","ssp245",2001,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,94,479,44,18,0,612,920,162,140,0,0,0,0,0,1,0,0,375,8,3,651,163,497,0,11,11,0,0,0,0,3516,1065,321,0,1023,4,989,954,526,0,491,107,766,0,0,0,714,197,802,1036,112,251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,6537,0,151,0,0,0,212,0,0,666,440,92,0,2652,7109,1172,2653,928,0,0,4079,0,0,3310,1,0,0,0,2054,27,155,0,304,0,0,5,0,1,0,0,0,0,917,0,35,11,516,1090,0,0,0,0,0,0,0,0,215,0,0,0,0,0,149,2,0,0,0,0,45,1409,4913,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,2,71,4,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,9,4,4,0,0,136,0,0,0,0,65,3,0,0,0,0,0,0,0,0,0
