"GCM","scenario","proj.year","BAFAun","BAFAunp","BGdh_OR","BGdw_OR","BGdw_WA","BGmk_MT","BGmk_NV","BGmm_MT","BGmw_OR","BGmw_WA","BGwm_WA","BGxh_WA","BGxh1","BGxh2","BGxh3","BGxw1","BGxw2","BGxx_WY","BSJPap","BSJPku","BSJPpa","BWBScmC","BWBScmE","BWBScmNW","BWBScmW","BWBSdk","BWBSdmN","BWBSdmS","BWBSlbE","BWBSlbN","BWBSlbW","BWBSlf","BWBSmk","BWBSmw","BWBSnm","BWBSpp","BWBSub","BWBSuf","BWBSwk1","BWBSwk2","BWBSwk3","CCHun_CA","CDFmm","CDFmm_OR","CDFmm_WA","CDFxm_CA","CMAun","CMAun_CA","CMAun_OR","CMAun_WA","CMAunp","CMXdm_OR","CMXwm_OR","CMXxm_CA","CRFdh_CA","CVGdm_CA","CWFds_CA","CWFmm_OR","CWFwm_OR","CWHdm","CWHdm_OR","CWHdm_WA","CWHds_WA","CWHds1","CWHds2","CWHmh_OR","CWHmm1","CWHmm2","CWHms_OR","CWHms_WA","CWHms1","CWHms2","CWHvh_WA","CWHvh1","CWHvh2","CWHvh3","CWHvm_OR","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHwh1","CWHwh2","CWHwm","CWHws1","CWHws2","CWHxm_OR","CWHxm_WA","CWHxm1","CWHxm2","ESSFabC","ESSFabN","ESSFabS","ESSFdc1","ESSFdc2","ESSFdcw","ESSFdk_MT","ESSFdk1","ESSFdk2","ESSFdkp","ESSFdkw","ESSFdm_ID","ESSFdv1","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmh","ESSFmm1","ESSFmm2","ESSFmm3","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv2","ESSFmv3","ESSFmv4","ESSFmvp","ESSFmw_WA","ESSFunp","ESSFvc","ESSFvcp","ESSFvcw","ESSFvh_ID","ESSFwc2","ESSFwc3","ESSFwc4","ESSFwcp","ESSFwcw","ESSFwh_MT","ESSFwh1","ESSFwh2","ESSFwh3","ESSFwk1","ESSFwk2","ESSFwm_MT","ESSFwm1","ESSFwm2","ESSFwm3","ESSFwm4","ESSFwmp","ESSFwmw","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc_CO","ESSFxc_WA","ESSFxc1","ESSFxc2","ESSFxc3","ESSFxcw","ESSFxk_MT","ESSFxk_UT","ESSFxk_WY","ESSFxv1","ESSFxv2","ESSFxvp","ESSFxw_OR","ESSFxx_WY","FGnf","GBDdw_UT","GBDxh_NV","GBDxx_UT","GOun_CO","ICHdh_ID","ICHdk","ICHdm","ICHdw_ID","ICHdw1","ICHdw3","ICHdw4","ICHmc1","ICHmc2","ICHmh_MT","ICHmk1","ICHmk2","ICHmk3","ICHmk4","ICHmk5","ICHmm","ICHmw_MT","ICHmw1","ICHmw2","ICHmw3","ICHmw4","ICHmw5","ICHvc","ICHvk_ID","ICHvk1","ICHvk2","ICHwc","ICHwk1","ICHwk2","ICHwk3","ICHwk4","ICHxm1","ICHxw","ICHxw_WA","ICHxwa","IDFdc","IDFdh","IDFdh_MT","IDFdh_UT","IDFdh_WA","IDFdk_MT","IDFdk_WA","IDFdk1","IDFdk2","IDFdk3","IDFdk4","IDFdk5","IDFdkx_MT","IDFdm_MT","IDFdm_WA","IDFdm1","IDFdm2","IDFdw","IDFdx_MT","IDFmw2","IDFxc","IDFxh_ID","IDFxh_WA","IDFxh1","IDFxh2","IDFxk","IDFxm","IDFxm_CO","IDFxw","IDFxx_MT","IDFxx_WA","IDFxx1","IDFxx2","IGFdk_WA","IGFdw_OR","IGFmh_OR","IGFmm_OR","IGFxm_OR","IMAab","IMAun","IMAun_CO","IMAun_ID","IMAun_MT","IMAun_OR","IMAun_WA","IMAun_WY","IWFdm_CO","IWFdw_OR","IWFxk_NV","IWFxm_CA","JPWdm_WY","JPWdw_UT","JPWwm_CO","JPWxh_CA","JPWxw_NV","MDCHun_NV","MGPdm","MGPmg","MGPmw_MT","MHdm_OR","MHds_OR","MHds_WA","MHmm_WA","MHmm1","MHmm2","MHmmp","MHms_WA","MHRFdm_OR","MHRFds_CA","MHRFmm_OR","MHunp","MHwh1","MMMdk_NV","MSabN","MSdc1","MSdc2","MSdc3","MSdh_MT","MSdh_UT","MSdh_WY","MSdk","MSdk_CO","MSdm_WA","MSdm1","MSdm2","MSdv","MSdw","MSdw_MT","MSmm_ID","MSSDun_NV","MSxh_OR","MSxk_WA","MSxk1","MSxk2","MSxk3","MSxm_CO","MSxv","MSxx_NV","OWun_CA","PPmx_WY","PPxh_CO","PPxh_WA","PPxh1","PPxh2","PPxk_OR","PPxm_OR","PPxw_MT","PPxw_WY","PPxx_OR","SASbo","SBAPcp","SBAPfp","SBPSdc","SBPSmc","SBPSmk","SBPSxc","SBSdh1","SBSdh2","SBSdk","SBSdw1","SBSdw2","SBSdw3","SBSmc1","SBSmc2","SBSmc3","SBSmh","SBSmk1","SBSmk2","SBSmm","SBSmw","SBSvk","SBSwk1","SBSwk2","SBSwk3","SBSwk3a","SGPdm_CO","SWBmk","SWBmks","SWBun","SWBuns","SWBvks","WJPxm_OR"
"obs","obs",1975,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,2,14,0,0,0,0,0,0,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,434,73,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,221,791,3099,513,918,262,6522,9331,4798,6716,0,0,0,7,0,72,2,32,3599,145,113,5072,885,3851,32,73,591,55,146,0,4,5828,5151,3910,4,3340,253,6132,7210,6965,0,4874,2057,2577,98,28,23,2908,3610,2652,4856,2571,3841,4,18,4,0,0,16,49,0,2,17,1,0,9,16,4,0,0,0,0,0,0,0,0,44,5563,80,9343,1,459,0,0,24,1540,0,16,2732,3548,207,0,4755,10119,1478,3486,4484,4,1,4842,6,0,6900,1,0,0,3,3966,368,1160,15,1196,0,0,15,1,5,0,0,51,0,2155,2,121,222,2615,5710,0,0,0,0,0,0,0,0,1244,1,0,0,0,0,293,2668,0,0,0,1,45,2737,12682,0,0,386,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,19,0,89,31,0,0,0,6565,0,618,3713,27,0,5673,211,0,0,0,9,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,108,6,103,0,2,82,1,5,85,21,56,31,9,0,339,3,150,0,11,161,70,87,0,0,0,180,0,0,1,0
"obs","obs",2005,398,0,0,0,0,0,0,0,8,583,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,5,5513,0,0,0,0,0,0,0,0,0,1,223,0,601,723,0,0,0,0,0,3086,0,0,0,0,0,0,2,0,0,0,0,0,1,1625,413,0,52,0,0,1927,188,4794,3500,1658,2655,1074,3662,4672,1703,2074,0,48,93,264,130,167,254,214,1834,2,12,154,38,402,35,0,51,0,54,186,6,1665,1124,906,1064,1680,200,1471,4029,3225,286,1647,477,4593,169,0,6482,308,421,3705,9658,4658,3393,13,155,39,0,429,33,501,16,44,645,5,617,102,1,174,26,0,0,0,0,0,0,2230,25,9714,4846,19429,17,25,1,469,661,2464,135,222,2275,144,1,0,94,3365,1300,15400,1673,0,193,1897,28,0,1507,151,0,1,636,2653,1061,2,17,1415,1125,0,965,776,131,2,1087,6,0,0,2060,8753,67,243,3783,0,459,228,788,0,3,367,4,0,0,0,0,3235,0,20,407,0,0,138,3002,5972,2129,5617,0,0,834,0,634,327,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3752,172,0,0,0,0,0,0,126,0,140,52,68,42,18,1110,322,0,404,1989,1070,0,4274,1428,4,0,26,338,3,0,0,0,0,0,0,0,0,177,1,0,0,0,0,0,0,0,0,171,0,0,26,0,13,0,0,105,28,68,967,50,0,11,163,0,4,0,1,59,24,10,0,0,0,33,0,0,5,0
"ensemble","ssp245",2001,62,NA,NA,NA,NA,NA,NA,NA,NA,1,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,7,77,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,1,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,3,1089,1790,2329,266,333,149,3061,6515,1619,2733,NA,NA,NA,NA,NA,39,NA,13,2746,564,24,2016,733,2153,1,947,91,NA,7,2,NA,9287,4375,4391,29,3840,1353,7672,5630,6393,NA,6301,1394,4318,1212,281,1026,3802,1560,2223,4372,742,2349,21,5,1,NA,4,NA,48,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,41,104,8445,2100,16070,67,278,1,NA,64,2340,93,368,5446,1605,373,NA,5472,7806,3181,10192,3014,NA,NA,8131,1,NA,6140,475,NA,NA,3,5542,1705,730,8,2637,133,457,296,161,60,NA,NA,3,NA,2568,36,1538,90,953,6179,NA,34,195,140,NA,3,72,NA,574,18,NA,NA,238,NA,981,2185,NA,NA,NA,10,2028,2409,5711,NA,NA,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1625,NA,360,558,13,NA,3218,494,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,3,NA,160,33,NA,140,162,248,125,32,NA,228,1019,NA,13,136,132,1588,723,1,NA,NA,NA,10,NA,NA,91,NA
"ACCESS-ESM1-5","ssp245",2001,39,0,0,0,0,0,0,0,0,111,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,938,9,0,0,0,0,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,448,1102,1100,66,153,104,2766,4179,791,1636,0,0,0,0,0,17,0,0,2207,336,24,1894,308,1992,0,1230,80,0,36,33,0,10824,4048,5266,30,3031,2446,6850,4690,6078,2,5083,2062,6051,1653,828,1257,4189,1134,4198,3855,499,2420,7,2,10,0,31,0,77,0,0,61,0,0,0,1,0,0,0,0,0,0,0,1,60,35,8749,3288,17698,35,25,0,0,99,776,97,313,6140,1518,174,0,6815,7152,3234,11602,3691,0,0,7732,5,0,7306,648,0,2,5,5897,3237,959,1,1654,19,691,1418,97,270,0,1,0,0,2720,54,751,188,64,4720,0,38,213,118,0,3,322,0,461,0,12,0,84,0,1654,2104,0,0,0,6,2149,2066,4181,0,0,324,0,1,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,685,54,22,0,2771,464,0,0,0,154,10,0,0,0,0,0,0,3,0,338,6,0,0,0,0,0,0,0,0,107,0,0,0,0,107,50,0,40,98,194,44,10,0,217,1135,0,1,177,246,2005,939,2,0,0,0,4,0,0,154,0
"BCC-CSM2-MR","ssp245",2001,9,0,0,0,0,5,0,0,0,6,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,96,0,0,0,97,290,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,229,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1358,2884,624,29,3,36,3278,4077,773,1753,0,0,0,0,0,0,0,0,1476,44,0,559,0,536,0,3307,70,2,14,7,0,8059,2576,4519,14,3961,3656,6156,5090,5939,0,3950,378,5992,1314,1511,892,4701,654,4669,7782,360,2890,32,1,0,0,31,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,76,0,8403,1981,18757,236,45,1,0,39,642,168,101,4769,698,133,0,4502,2950,3981,16673,3552,0,0,6829,12,0,5837,902,1,5,4,5999,2032,903,3,2158,844,30,925,182,90,0,15,1,0,2081,59,1645,189,85,9427,0,60,218,288,0,3,184,0,99,1,0,0,505,0,875,2896,0,0,0,217,2749,2443,3767,0,0,217,0,0,0,0,0,0,0,0,0,0,0,218,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,488,0,405,86,15,0,5507,69,0,0,0,117,3,0,0,0,0,0,0,12,0,315,23,0,0,0,0,24,0,0,0,406,0,0,0,0,45,5,0,112,359,558,7,23,0,519,1533,0,0,362,250,1642,1234,2,0,0,0,0,0,0,27,0
"CNRM-ESM2-1","ssp245",2001,76,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,351,2656,2003,272,487,615,4524,6332,2091,4147,0,0,0,0,0,13,0,15,2318,157,5,2363,274,2739,4,137,127,3,50,20,0,7567,4163,4031,78,3490,667,6376,6205,7115,10,4717,1559,5456,825,108,885,3202,2356,4031,5874,2046,3845,37,16,6,0,30,1,263,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,117,61,8547,2453,15034,23,6,1,1,225,1672,7,221,4186,1655,210,0,5489,6405,2371,9731,3279,0,1,6807,0,1,6369,139,0,1,6,5250,1412,725,11,1903,249,59,224,266,68,0,50,7,0,2126,73,2249,233,938,6094,0,48,110,22,0,1,41,0,337,0,0,0,949,0,813,2638,0,0,0,21,1871,1827,7305,0,0,498,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,17,6,0,1,12,2049,0,643,834,28,0,5141,824,0,0,0,12,20,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,65,1,0,10,0,43,38,0,141,145,118,328,24,0,55,680,0,26,53,27,982,427,7,0,0,0,5,0,0,53,0
"EC-Earth3","ssp245",2001,37,0,0,0,0,0,0,0,0,17,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0,0,0,0,17,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,378,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,59,0,0,5,662,2664,1081,130,235,254,3396,4257,1200,2745,0,0,0,0,0,6,0,0,1719,78,0,885,37,1171,0,1253,81,2,46,11,0,7633,3364,4266,157,3982,2008,6570,5759,6931,37,4577,1118,6741,1526,598,1784,3587,1269,4300,6820,1081,3450,36,17,2,0,47,0,92,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,145,8,9150,3737,17729,101,4,2,0,73,832,42,251,4773,778,64,0,4479,5596,3649,13507,3002,0,7,7685,0,0,5861,470,0,0,75,5263,2475,685,1,2060,277,160,1120,237,38,0,52,2,0,1911,48,1693,181,143,7002,0,68,283,293,0,3,79,0,136,0,0,0,498,0,1275,2565,0,0,0,71,2483,1809,4859,0,0,371,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,810,0,447,169,29,0,5286,630,0,0,0,127,7,0,0,0,0,0,0,0,0,264,13,0,0,0,0,0,0,0,0,189,0,0,2,0,96,1,0,149,176,214,103,33,0,336,927,0,0,203,175,1690,697,3,0,0,0,1,0,0,122,0
"GFDL-ESM4","ssp245",2001,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,116,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,372,41,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,976,1057,2320,236,507,116,4440,7494,2199,3773,0,0,0,0,0,71,0,49,3135,478,68,2635,793,2656,9,1128,206,7,134,0,0,7576,4512,4066,2,3923,1485,6835,5616,5793,2,6006,2083,3273,597,560,543,3437,3052,2513,4178,1097,2587,92,8,18,0,0,2,56,0,0,2,0,0,0,1,0,0,0,0,0,0,0,141,0,136,7836,732,11308,2,1193,0,0,9,2279,24,258,4025,2379,506,0,5018,11670,2564,4892,4092,2,0,8534,3,1,7450,176,0,10,14,6422,859,1191,171,1873,0,589,47,4,45,3,31,41,0,3139,5,264,161,1879,5372,0,9,144,61,0,3,50,0,1184,31,21,0,0,0,1129,2963,0,0,0,0,177,2682,7219,0,0,185,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3851,0,746,1240,47,0,4563,212,0,0,0,0,19,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,38,7,0,28,0,100,114,2,122,265,251,71,82,0,79,1095,3,49,60,142,1350,954,25,0,0,0,18,0,0,26,0
"GISS-E2-1-G","ssp245",2001,173,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,168,0,0,0,50,434,6,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,28,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,39,2273,569,1486,121,230,43,2605,6459,1262,2098,0,0,0,0,0,67,0,11,3216,1105,138,1626,1165,1765,0,2212,354,23,31,0,0,11331,5944,6839,0,5081,2934,5662,5166,5072,0,5652,1498,3074,909,1156,439,4296,1450,2439,2747,808,2334,55,10,15,0,0,0,12,0,1,92,0,0,0,0,0,0,0,0,0,0,0,37,0,163,6745,532,9349,68,896,0,0,40,2874,99,359,5811,1543,889,0,5241,10284,4460,5675,3916,1,0,10274,132,0,7523,490,0,5,9,5212,799,1072,0,1598,3,320,4,12,4,0,0,6,0,3279,0,322,9,1364,6231,0,0,153,0,0,1,2,1,1048,34,4,0,18,0,653,2831,0,0,0,0,131,4169,6756,0,0,273,0,0,0,0,0,0,0,0,0,0,0,45,0,0,6,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3434,0,460,606,16,0,2839,220,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,0,17,0,153,171,0,131,267,409,76,39,0,284,1279,0,8,173,397,1304,1985,9,0,0,0,37,0,0,315,0
"MIROC6","ssp245",2001,57,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,97,1,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,656,27,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,312,0,0,0,1414,266,2525,229,496,1,1030,2786,963,1176,0,0,0,0,3,232,0,71,3882,1428,126,1241,1051,1492,3,1893,27,0,235,3,0,10800,4375,5206,0,5128,1396,6139,4952,5815,0,6566,1062,3385,2394,541,917,4262,1232,2070,2419,639,1515,401,143,88,0,0,2,94,0,0,88,0,0,0,37,0,0,0,0,0,0,0,58,0,25,2972,786,15449,231,1201,59,2,0,4742,575,401,3493,598,1158,0,5323,13384,4040,7200,7635,14,0,10489,18,0,8562,848,0,33,1284,5546,1789,1577,5,4338,12,681,32,10,36,6,101,8,0,2278,5,341,28,1129,2380,0,1,1201,261,0,3,1582,36,516,14,5,0,17,0,1603,493,0,0,0,1,2143,2390,5068,0,0,155,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,0,248,365,125,0,877,0,0,0,0,0,83,0,0,0,0,0,0,0,0,43,164,0,0,0,0,0,0,0,0,32,0,0,8,0,539,34,0,217,237,675,357,105,0,531,1780,0,14,495,472,2729,585,19,0,0,0,20,0,0,248,0
