"GCM","scenario","proj.year","Freq.BWBSpp","Freq.MSabN","Freq.ESSFabE","Freq.ESSFabS","Freq.MSdc1","Freq.MSdc2","Freq.ESSFmww","Freq.MSdc3","Freq.ESSFxv2","Freq.MHunp","Freq.ESSFxv1","Freq.ESSFxcw","Freq.IDFxc","Freq.ESSFwc4","Freq.IDFww","Freq.ICHmw3","Freq.ICHmw4","Freq.BGxh1","Freq.ICHmw5","Freq.BGxh2","Freq.BGxh3","Freq.ICHmw1","Freq.ESSFdcp","Freq.ESSFdkw","Freq.IDFxm","Freq.CWHmm1","Freq.MSdm2","Freq.CWHmm2","Freq.IDFxk","Freq.ESSFdkp","Freq.MSdm1","Freq.CWHwh2","Freq.ESSFdv2","Freq.ICHmc1a","Freq.ESSFdv1","Freq.SBSwk3a","Freq.ESSFdcw","Freq.ESSFwm2","Freq.IDFxw","Freq.ESSFwm3","Freq.ESSFwm4","Freq.ICHwk2","Freq.ICHwk3","Freq.ESSFwm1","Freq.ICHwk4","Freq.MSmw1","Freq.MSmw2","Freq.ESSFxvp","Freq.PPxh3","Freq.SBPSmc","Freq.PPxh1","Freq.PPxh2","Freq.IMAunp","Freq.ESSFxvw","Freq.ICHdk","Freq.MHun","Freq.IDFdk5","Freq.ESSFdvw","Freq.IDFdk2","Freq.CWHds2","Freq.CWHvh1","Freq.CWHvh3","Freq.ESSFvcp","Freq.SWBvks","Freq.CWHds1","Freq.ESSFdvp","Freq.ESSFwmw","Freq.CWHws1","Freq.ICHdm","Freq.ESSFmm1","Freq.ESSFmkp","Freq.ESSFmm2","Freq.ESSFwmp","Freq.ESSFmm3","Freq.BWBSvk","Freq.MHwh1","Freq.ICHmk1","Freq.ICHvk2","Freq.ICHmk2","Freq.ESSFvcw","Freq.ESSFwvp","Freq.ICHmm","Freq.ICHvk1","Freq.ICHdw4","Freq.ESSFmcp","Freq.ICHdw1","Freq.ESSFwh1","Freq.ICHvc","Freq.ESSFwh2","Freq.ESSFwh3","Freq.ICHdw3","Freq.SBSdh1","Freq.ESSFmk","Freq.ICHmk3","Freq.SBSdh2","Freq.ICHmk4","Freq.ICHmk5","Freq.ICHmc2","Freq.ESSFmv1","Freq.ESSFmh","Freq.BAFAunp","Freq.ESSFmw1","Freq.ICHxwa","Freq.MHwh","Freq.IDFdm1","Freq.IDFdm2","Freq.ESSFmw","Freq.ESSFxc1","Freq.ESSFxc2","Freq.ESSFvc","Freq.ESSFmmw","Freq.IDFdc","Freq.ICHwc","Freq.ESSFmw2","Freq.MHwhp","Freq.CMAwh","Freq.IDFdw","Freq.SWBvk","Freq.IDFmw1","Freq.IDFmw2","Freq.ESSFxc3","Freq.MSxk1","Freq.SBSmk2","Freq.MSxk2","Freq.BWBSwk1","Freq.MSdk","Freq.MSxk3","Freq.BWBSwk3","Freq.CDFmm","Freq.IDFxh1","Freq.SBSmm","Freq.ESSFdc1","Freq.ESSFdc2","Freq.SBSmh","Freq.CWHms2","Freq.MSdv","Freq.MSdw","Freq.SBSmc1","Freq.SBSun","Freq.ESSFdk1","Freq.ICHxw","Freq.ESSFmwp","Freq.SBSmc3","Freq.IDFww1","Freq.IDFxx2","Freq.ESSFxcp","Freq.BGxw1","Freq.IDFxh4","Freq.BGxw2","Freq.SBSmw","Freq.CWHwm","Freq.ESSFxh_WA","Freq.ESSFxw_OR","Freq.CWHmh_OR","Freq.CWHms_WA","Freq.BGdw_OR","Freq.IDFdh_MT","Freq.IMAun_WA","Freq.ESSFxx_WY","Freq.CWFwm_OR","Freq.MSxk_WA","Freq.MHms_WA","Freq.IMAun_MT","Freq.MHds_WA","Freq.ICHmh_MT","Freq.PPxx_OR","Freq.ESSFdh_WA","Freq.IMAun_UT","Freq.CMAun_WA","Freq.CWHvh_WA","Freq.IDFdm_WA","Freq.CWHxm_OR","Freq.MHRFdm_OR","Freq.JPWmk_WY","Freq.CWHds_WA","Freq.IMAun_ID","Freq.CWHms_OR","Freq.ESSFdk_MT","Freq.MHdm_OR","Freq.IMAun_OR","Freq.ESSFmw_WA","Freq.CMAun_OR","Freq.ESSFxc_WA","Freq.MHds_OR","Freq.MDCHun_NV","Freq.IDFdk_WA","Freq.ICHxw_WA","Freq.IDFxx_WA","Freq.IDFxx1","Freq.IDFxx_MT","Freq.MSdm_WA","Freq.MSxx_NV","Freq.MSxh_OR","Freq.BGmw_OR","Freq.MHRFmm_OR","Freq.IWFxm_CA","Freq.ICHmw_MT","Freq.ESSFwh_MT","Freq.BAFAun","Freq.BGdh_OR","Freq.BGdw_WA","Freq.BGmk_MT","Freq.BGmk_NV","Freq.BGmm_MT","Freq.BGmw_WA","Freq.BGwm_WA","Freq.BGxh_WA","Freq.BGxx_WY","Freq.BSJPap","Freq.BSJPku","Freq.BSJPpa","Freq.BWBScmC","Freq.BWBScmE","Freq.BWBScmNW","Freq.BWBScmW","Freq.BWBSdk","Freq.BWBSdmN","Freq.BWBSdmS","Freq.BWBSlbE","Freq.BWBSlbN","Freq.BWBSlbW","Freq.BWBSlf","Freq.BWBSmk","Freq.BWBSmw","Freq.BWBSnm","Freq.BWBSub","Freq.BWBSuf","Freq.BWBSwk2","Freq.CCHun_CA","Freq.CDFmm_OR","Freq.CDFxm_CA","Freq.CMAun","Freq.CMAun_CA","Freq.CMAunp","Freq.CMXdm_OR","Freq.CMXwm_OR","Freq.CMXxm_CA","Freq.CRFdh_CA","Freq.CVGdm_CA","Freq.CWFds_CA","Freq.CWFmm_OR","Freq.CWHdm","Freq.CWHdm_OR","Freq.CWHdm_WA","Freq.CWHms1","Freq.CWHvh2","Freq.CWHvm_OR","Freq.CWHvm_WA","Freq.CWHvm1","Freq.CWHvm2","Freq.CWHwh_WA","Freq.CWHwh1","Freq.CWHws2","Freq.CWHxm_WA","Freq.CWHxm1","Freq.CWHxm2","Freq.ESSFabC","Freq.ESSFabN","Freq.ESSFdk2","Freq.ESSFdm_ID","Freq.ESSFmc","Freq.ESSFmmp","Freq.ESSFmv2","Freq.ESSFmv3","Freq.ESSFmv4","Freq.ESSFmvp","Freq.ESSFun","Freq.ESSFunp","Freq.ESSFvh_ID","Freq.ESSFwc2","Freq.ESSFwc3","Freq.ESSFwcp","Freq.ESSFwcw","Freq.ESSFwk1","Freq.ESSFwk2","Freq.ESSFwm_MT","Freq.ESSFwv","Freq.ESSFxc_CO","Freq.ESSFxk_MT","Freq.ESSFxk_UT","Freq.ESSFxk_WY","Freq.FGff","Freq.FGnf","Freq.GBDdw_UT","Freq.GBDxh_NV","Freq.GBDxx_UT","Freq.GOun_CO","Freq.ICHdh_ID","Freq.ICHdw_ID","Freq.ICHmc1","Freq.ICHmw2","Freq.ICHvk_ID","Freq.ICHwk1","Freq.IDFdh_UT","Freq.IDFdh_WA","Freq.IDFdk_MT","Freq.IDFdk1","Freq.IDFdk3","Freq.IDFdk4","Freq.IDFdkx_MT","Freq.IDFdm_MT","Freq.IDFdx_MT","Freq.IDFdxx_WY","Freq.IDFxh_ID","Freq.IDFxh_WA","Freq.IDFxh2","Freq.IDFxm_CO","Freq.IGFdk_WA","Freq.IGFdw_OR","Freq.IGFmh_OR","Freq.IGFmm_OR","Freq.IGFxm_OR","Freq.IMAab","Freq.IMAun","Freq.IMAun_CO","Freq.IMAun_WY","Freq.IWFdm_CO","Freq.IWFdw_OR","Freq.IWFxk_NV","Freq.JPWdm_WY","Freq.JPWdw_UT","Freq.JPWwm_CO","Freq.JPWxh_CA","Freq.JPWxw_NV","Freq.MGPdm","Freq.MGPmg","Freq.MGPmw_MT","Freq.MHmm_WA","Freq.MHmm1","Freq.MHmm2","Freq.MHmmp","Freq.MHRFds_CA","Freq.MSabS","Freq.MSdh_MT","Freq.MSdh_UT","Freq.MSdh_WY","Freq.MSdk_CO","Freq.MSdw_MT","Freq.MSmm_ID","Freq.MSSDun_NV","Freq.MSxm_CO","Freq.MSxv","Freq.OWun_CA","Freq.PPmx_WY","Freq.PPxh_CO","Freq.PPxh_WA","Freq.PPxk_OR","Freq.PPxm_OR","Freq.PPxw_MT","Freq.PPxw_WY","Freq.SASbo","Freq.SBAPcp","Freq.SBAPfp","Freq.SBPSdc","Freq.SBPSmk","Freq.SBPSxc","Freq.SBSdk","Freq.SBSdw1","Freq.SBSdw2","Freq.SBSdw3","Freq.SBSmc2","Freq.SBSmk1","Freq.SBSvk","Freq.SBSwk1","Freq.SBSwk2","Freq.SBSwk3","Freq.SGPdm_CO","Freq.SWBmk","Freq.SWBmks","Freq.SWBun","Freq.SWBuns","Freq.WJPxm_OR"
"MPI-ESM1-2-HR","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,3244,0,1053,1592,0,1663,0,0,1068,3,2619,0,0,0,0,12,1358,859,0,0,0,0,0,190,702,0,891,1857,0,0,481,0,0,0,0,7,0,0,0,0,0,0,0,122,0,0,0,0,0,1679,0,0,0,1044,0,1520,0,0,0,422,171,0,0,321,0,0,1566,0,0,1458,0,0,5729,956,0,25,1047,0,0,0,0,0,106,9,0,0,1302,0,0,12,0,564,2311,0,0,0,3803,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,0,0,1360,93,0,0,0,1474,0,0,2716,2681,0,0,0,1470,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282,0,0,295,0,0,0,0,0,0,0,1379,0,2650,2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080,0,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRI-ESM2-0","ssp245",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,0,1102,1273,0,659,0,0,306,0,2003,0,0,0,0,0,1557,231,0,0,0,0,0,57,160,0,491,1414,0,0,72,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,372,0,0,0,577,0,919,0,0,0,249,147,0,0,62,0,0,334,0,0,1281,0,0,4532,806,0,1,592,0,0,0,0,0,10,0,0,0,131,0,0,1,0,165,1183,0,0,0,1603,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,486,44,0,0,0,492,0,0,558,1918,0,0,0,4,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3142,0,0,86,0,0,0,0,0,0,0,685,0,2247,2157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504,0,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ensemble","ssp245",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,NA,747,982,NA,437,NA,NA,98,NA,1633,NA,NA,NA,NA,NA,1041,NA,NA,NA,NA,NA,NA,NA,14,NA,38,590,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,588,NA,NA,NA,97,NA,51,NA,NA,NA,52,14,NA,NA,NA,NA,NA,180,NA,NA,177,NA,NA,3428,113,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,1,237,NA,NA,NA,1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,67,NA,NA,452,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,595,NA,792,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,NA,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCESS-ESM1-5","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,440,545,0,129,0,0,3,0,441,0,0,0,0,0,177,0,0,0,0,0,0,0,3,0,16,235,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,58,0,0,0,0,0,6,0,0,0,0,0,0,72,0,0,41,0,0,1736,10,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,133,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,2,0,0,0,0,0,0,0,235,0,68,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCC-CSM2-MR","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,441,1464,0,1054,0,0,185,0,2188,0,0,0,0,0,906,0,0,0,0,0,0,0,15,0,51,505,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,277,0,173,0,0,0,96,0,0,0,0,0,0,143,0,0,126,0,0,3569,101,0,0,483,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,387,0,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,92,0,0,0,0,63,0,0,487,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,1,0,0,0,0,0,0,0,403,0,1307,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNRM-ESM2-1","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1417,0,786,1051,0,1047,0,0,323,0,1762,0,0,0,0,0,1569,2,0,0,0,0,0,0,172,0,153,579,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,746,0,0,0,315,0,180,0,0,0,153,100,0,0,0,0,0,579,0,0,744,0,0,3605,232,0,4,328,0,0,0,0,0,6,6,0,0,267,0,0,0,0,19,275,0,0,0,2293,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,165,0,0,0,0,130,0,0,800,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,47,0,0,0,0,0,0,0,796,0,1220,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,0,2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EC-Earth3","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,673,866,0,351,0,0,0,0,1507,0,0,0,0,0,1142,0,0,0,0,0,0,1,14,0,87,505,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,170,0,31,0,0,0,92,0,0,0,0,0,0,39,0,0,135,0,0,3339,116,0,0,237,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,219,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,0,0,21,0,0,315,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743,0,0,1,0,0,0,0,0,0,0,308,0,685,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GFDL-ESM4","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,2648,0,534,1342,0,1535,0,0,144,0,1067,0,0,0,0,0,443,24,0,0,0,0,0,10,98,0,452,1269,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,869,0,0,0,784,0,438,0,0,0,124,27,0,0,7,0,0,562,0,0,243,0,0,3759,255,0,2,704,0,0,0,0,0,0,0,0,0,492,0,0,0,0,65,481,0,0,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,411,0,0,0,0,411,0,0,608,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,13,0,0,0,0,0,0,0,751,0,1571,2260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GISS-E2-1-G","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,1096,348,0,197,0,0,10,0,882,0,0,0,0,0,520,0,0,0,0,0,0,0,10,0,5,301,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,111,0,13,0,0,0,9,5,0,0,17,0,0,91,0,0,159,0,0,1953,34,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,73,177,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,79,0,0,356,898,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,92,0,0,0,0,0,0,0,389,0,428,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,0,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIROC6","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,439,166,0,102,0,0,0,0,121,0,0,0,0,0,37,4,0,0,0,0,0,2,1,0,78,777,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,59,0,14,0,0,0,14,0,0,0,14,0,0,147,0,0,49,0,0,834,19,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,73,0,0,229,577,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,56,0,0,0,0,0,0,0,455,0,327,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPI-ESM1-2-HR","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,0,848,1045,0,1245,0,0,285,0,1309,0,0,0,0,0,766,5,0,0,0,0,0,5,15,0,110,584,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,981,0,0,0,82,0,94,0,0,0,85,76,0,0,0,0,0,607,0,0,347,0,0,3466,164,0,0,403,0,0,0,0,0,0,3,0,0,410,0,0,0,0,19,199,0,0,0,2627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,0,0,410,2,0,0,0,717,0,0,1018,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,46,0,0,0,0,0,0,0,748,0,908,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,0,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRI-ESM2-0","ssp245",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,568,271,0,38,0,0,1,0,1059,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,12,265,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,21,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,80,0,0,1113,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,71,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,103,493,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,73,0,181,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
